Genes	ctrl_1	ctrl_2	ctrl_3	ctrl_4	ctrl_5	trt_1	trt_2	trt_3	trt_4	trt_5
ABCC8	1449	2267	2291	1246	1266	914	1804	265	1185	736
ABCC9	544	992	244	425	591	841	651	243	921	629
ABCD1	493	978	1357	454	618	1140	631	540	913	1177
ABCD2	1612	873	471	1574	1411	743	209	1283	2023	592
ABCD3	181	329	165	417	174	41	60	417	76	143
ABCD4	800	263	1144	740	627	758	1109	472	418	586
ABCE1	827	2004	2058	603	873	1597	1368	1280	292	2597
ABCF1	293	355	501	661	1608	938	593	369	1173	1244
ABCF2	701	591	437	568	786	489	548	714	672	616
ABCF3	193	240	372	425	203	355	196	314	942	362
ABCG1	665	982	1035	1578	1267	1286	2040	656	494	970
ABCG2	1640	1593	1876	2183	1712	1850	808	1779	767	802
ABCG4	708	609	146	1169	279	257	392	572	259	95
ABCG5	21	137	50	58	99	40	41	70	10	60
ABCG8	836	1157	664	1041	730	2395	962	1024	1093	892
ABHD1	1994	1115	655	2877	4319	2627	1810	1527	877	2416
ABHD10	1159	550	3145	673	2358	6951	5456	4459	3499	2372
ABHD11	143	664	193	78	394	596	264	265	674	410
ABHD12	865	240	358	951	452	631	458	1752	830	333
ABHD12B	3845	3148	2863	953	855	1008	3734	677	1160	2576
ABHD13	584	531	514	511	983	916	630	3620	1849	1931
ABHD14A	2047	1065	907	556	2294	957	1437	2555	1699	2301
ABHD14A-ACY1	641	427	873	707	1141	448	773	974	1271	599
ABHD14B	804	174	868	843	245	885	578	798	370	493
ABHD15	2140	2246	942	2222	652	1802	1162	1304	676	635
ABHD16A	1067	1045	1028	1417	539	1704	1604	1837	1383	2465
ABHD16B	1418	1828	1364	586	2475	886	572	462	1826	2732
ABHD17A	582	520	631	632	730	615	299	618	941	471
ABHD17B	149	341	306	344	57	510	713	753	948	619
ABHD17C	1508	1796	1369	536	724	1731	1167	841	630	1230
ABHD18	1494	786	1445	1213	828	591	999	1776	870	1318
ABHD2	118	247	460	671	460	421	160	134	395	561
ABHD3	130	84	294	172	193	194	437	218	36	393
ABHD4	103	223	271	86	113	389	211	200	123	258
ABHD5	3239	638	791	3187	1667	1950	2891	3084	3211	2090
ABHD6	270	1799	994	2598	1870	1771	661	1725	721	1692
ABHD8	2556	2172	1750	3090	1435	4898	2777	6769	10574	4090
ABI1	288	413	299	348	308	923	207	689	222	865
ABI2	3438	2580	1254	1311	1804	1544	2359	746	247	2816
ABI3	495	187	466	727	509	385	356	42	184	537
ABI3BP	1241	290	1313	637	908	1461	386	1552	226	505
ABL1	2143	2946	6684	1213	1501	4447	362	7813	8927	6135
ABL2	1297	751	503	315	229	1436	529	364	1058	313
ABLIM1	1552	1577	262	573	209	205	89	558	226	277
ABLIM2	691	152	621	366	555	252	307	273	86	270
ABLIM3	764	109	221	392	272	303	246	230	284	464
ABO	997	545	1044	1249	1158	5473	8709	3824	1835	6717
ABR	984	1039	669	1796	1327	2361	6224	7682	16897	8660
ABRA	994	1116	2829	525	428	5456	3770	3710	1561	3298
ABRACL	574	1077	329	1647	723	2987	828	988	897	761
ABRAXAS1	1777	663	2429	1875	945	1339	1583	718	1019	739
ABRAXAS2	101	31	21	137	40	170	46	66	61	40
ABT1	231	256	159	182	297	519	584	303	517	241
ABTB1	1822	4145	1606	992	1453	4965	4209	428	2698	689
ABTB2	353	91	80	332	271	252	138	266	147	206
ACAA1	1899	1955	991	772	531	1483	3320	2480	3168	648
ACAA2	562	238	308	119	1131	293	410	451	236	404
ACACA	1949	2281	1023	1319	2167	1098	1370	861	2674	1300
ACACB	2593	718	989	623	1806	1868	901	1266	468	741
ACAD10	599	1166	403	321	976	4275	1297	1856	2833	581
ACAD11	1254	856	462	375	1602	513	1214	337	505	396
ACAD8	1141	1864	742	1661	622	3399	1684	1273	1304	1687
ACAD9	570	207	271	628	296	748	1244	484	439	534
ACADL	163	536	381	580	548	608	367	411	542	482
ACADM	846	744	2278	5342	358	520	1112	2177	1120	1694
ACADS	486	212	194	119	233	147	431	383	168	800
ACADSB	1648	3531	1933	671	2506	2298	2216	2283	2884	1392
ACADVL	2031	885	1722	964	1187	1508	783	709	595	1358
ACAN	88	265	160	236	671	567	148	88	362	396
ACAP1	2228	2769	954	2339	2864	782	1058	632	1475	279
ACAP2	1083	714	692	889	618	1173	698	715	579	1696
ACAP3	457	464	480	542	1363	167	149	170	168	51
ACAT1	907	1716	1389	1133	1992	718	3128	531	813	449
ACAT2	583	313	242	784	502	505	1093	620	311	544
ACBD3	958	393	982	425	528	233	324	367	861	579
ACBD4	414	545	121	122	107	21	82	64	91	76
ACBD5	806	751	246	1100	1100	2163	1754	454	696	406
ACBD6	1028	590	530	1607	1108	227	679	259	343	572
ACBD7	2617	3346	840	1599	403	1402	2449	228	664	1034
ACCS	315	1136	2147	889	1205	1350	1708	750	2247	923
ACCSL	1911	1072	475	570	1411	1811	1051	1951	573	452
ACD	1583	458	1117	1355	1491	809	1212	3982	428	1002
ACE	1937	338	1546	3928	1232	2863	1618	1240	1190	2727
ACE2	846	2465	1959	134	2306	1473	586	895	576	371
ACER1	1659	546	1599	632	857	200	380	383	151	54
ACER2	256	1514	292	219	648	686	594	406	3104	319
ACER3	2650	2532	3762	2270	2167	1896	356	546	1160	3731
ACHE	339	157	90	84	176	190	102	90	102	108
ACIN1	1348	859	418	434	887	340	438	511	750	473
ACKR1	854	748	1266	393	1903	2437	1443	2171	1448	1594
ACKR2	192	282	104	138	110	81	170	159	182	140
ACKR3	609	343	295	273	407	315	329	254	426	421
ACKR4	2092	1918	1706	1964	1347	490	954	1738	703	1514
ACLY	1103	944	358	707	913	1567	886	442	862	469
ACMSD	336	2265	291	1200	1058	1923	1393	2125	1355	1257
ACO1	2107	3067	1701	520	2113	2504	1303	1990	980	1246
ACO2	375	361	150	76	385	158	509	153	520	259
ACOD1	243	68	81	60	19	175	109	23	247	214
ACOT1	2298	1401	926	2284	646	1462	1937	511	2171	2230
ACOT11	673	531	914	821	367	466	446	1849	293	614
ACOT12	1405	1063	344	743	957	713	441	969	1149	2171
ACOT13	360	543	323	215	615	192	455	190	633	232
ACOT2	820	1628	2042	1521	1746	1043	2751	488	619	540
ACOT4	598	1371	176	2300	272	708	1110	815	1214	944
ACOT6	1595	1872	1272	2321	1511	782	1845	1328	2149	511
ACOT7	363	1189	299	154	671	1041	265	966	1715	673
ACOT8	1735	798	624	782	952	250	721	1208	343	1248
ACOT9	1540	688	171	1698	332	322	760	457	456	1625
ACOX1	105	36	146	300	174	154	162	130	397	257
ACOX2	103	228	232	78	86	28	47	103	102	33
ACOX3	2162	923	449	1326	639	980	1289	607	788	774
ACOXL	627	1616	765	767	1059	502	471	840	822	698
ACP1	699	1795	1024	766	1038	1395	1822	1833	689	461
ACP2	565	1108	606	759	347	540	883	321	177	812
ACP4	1669	1925	2020	1928	472	600	970	992	1652	978
ACP5	2024	1042	1042	1070	2046	1954	714	2515	2195	1187
ACP6	475	591	344	807	1646	1050	251	1106	843	880
ACP7	252	562	530	336	276	615	579	497	255	286
ACPP	158	425	125	559	358	160	97	373	240	687
ACR	783	1633	918	697	880	3059	661	811	677	770
ACRBP	1705	506	80	1229	707	1071	400	696	1368	1991
ACRV1	246	389	1108	459	833	418	320	406	363	974
ACSBG1	436	2420	1077	1480	1092	1054	1964	2243	716	1728
ACSBG2	112	619	291	465	214	162	286	478	676	467
ACSF2	981	532	1568	1480	454	2036	1376	436	614	1703
ACSF3	305	2774	324	253	1674	1320	1006	955	1798	623
ACSL1	868	3045	1267	1387	1079	1814	602	1443	2415	2453
ACSL3	109	126	107	141	156	148	192	85	69	41
ACSL4	2338	644	1627	1620	1359	1505	1697	1676	1576	1342
ACSL5	1398	469	1635	921	1422	1956	1327	927	1421	1832
ACSL6	507	449	621	462	349	902	251	1112	426	309
ACSM1	711	440	392	652	299	78	522	419	359	62
ACSM2A	1364	2017	444	292	1837	895	1563	1408	1069	1228
ACSM2B	1530	1909	199	1111	1284	1306	408	1641	2188	1525
ACSM3	2446	2566	2541	1206	1624	996	1612	1705	1324	3630
ACSM4	1459	2148	1228	1383	649	882	347	951	1469	1297
ACSM5	1198	1969	1864	1188	2100	3357	925	795	1765	1948
ACSM6	41	74	105	23	72	45	52	48	33	60
ACSS1	146	204	160	141	127	69	98	301	149	66
ACSS2	2117	541	962	1083	3637	3038	347	619	1239	2475
ACSS3	851	620	3308	407	2590	3863	1594	844	2545	1329
ACTA1	648	562	497	1431	835	455	1086	1653	1819	986
ACTA2	742	1679	3479	2095	1393	2360	1568	3942	1012	2577
ACTB	1476	1800	1049	405	2055	4450	1147	712	1627	969
ACTBL2	1308	708	3149	703	2156	1246	1882	1448	3137	1678
ACTC1	1117	1661	2485	3915	890	1741	1195	632	1339	2481
ACTG1	2222	4503	3321	1666	2417	642	1632	1769	1055	3367
ACTG2	256	375	452	995	600	343	635	829	145	886
ACTL10	2350	1228	2632	402	1233	1687	846	1254	2612	1842
ACTL6A	533	796	191	386	167	493	172	36	614	351
ACTL6B	2940	3316	2863	2768	1053	3496	1655	2345	2091	958
ACTL7A	316	2091	632	641	451	1078	666	2721	1139	921
ACTL7B	443	2541	1471	485	1662	2593	1258	1387	1022	1820
ACTL8	1033	1425	888	812	1020	870	1249	1367	577	498
ACTL9	199	156	288	226	331	248	298	216	105	259
ACTN1	364	582	534	293	538	505	1774	471	370	850
ACTN2	860	2534	2930	1437	1519	4922	1114	2078	1965	1139
ACTN3	2358	1819	3052	1980	1769	3180	1759	2212	2515	1430
ACTN4	508	687	286	573	1026	779	569	1230	422	350
ACTR10	1849	2120	3460	3403	639	1592	4227	1207	833	970
ACTR1A	881	2467	2485	1206	2881	2412	2317	2430	1868	1284
ACTR1B	810	1581	1291	2080	864	1727	1490	924	708	1512
ACTR2	191	150	272	72	124	252	115	115	51	80
ACTR3	1461	4204	1892	1237	1435	605	3442	1979	578	3458
ACTR3B	1334	658	2387	1218	366	225	1622	509	2233	1104
ACTR3C	1373	1048	615	282	3115	396	1694	1854	1980	3662
ACTR5	1055	942	1864	1087	379	1300	605	2801	1485	3946
ACTR6	732	744	2674	515	742	1282	1425	937	858	2384
ACTR8	930	2048	1679	2680	912	538	645	1388	2681	778
ACTRT1	1072	361	363	586	688	654	565	616	885	366
ACTRT2	661	492	434	394	503	1070	762	725	776	665
ACTRT3	222	416	691	190	444	436	423	650	671	469
ACVR1	46	83	82	171	103	138	130	116	35	205
ACVR1B	1249	255	1044	1464	1279	117	814	2109	1521	1623
ACVR1C	788	1382	2027	1067	1074	873	1540	1443	1263	594
ACVR2A	1443	1350	2423	1365	2468	684	1491	483	2616	1219
ACVR2B	465	442	341	195	366	284	276	663	385	94
ACVRL1	1037	276	1571	1474	582	1394	1209	750	901	1204
ACY1	32	80	55	53	24	58	37	39	51	51
ACY3	418	381	251	222	260	63	219	286	292	142
ACYP1	113	50	120	300	221	92	63	307	210	163
ACYP2	616	1531	518	1224	917	415	442	2677	1667	1850
ADA	168	220	225	186	218	56	214	118	234	298
ADA2	913	2255	2527	960	780	2280	384	648	2011	1189
ADAD1	82	623	583	624	404	878	93	301	781	620
ADAD2	517	827	2097	918	1418	460	282	524	513	436
ADAL	1681	1057	2090	643	2151	2425	1452	1026	2025	373
ADAM10	3987	1102	3590	1698	2330	2556	1217	511	2436	1274
ADAM11	1942	1062	194	3220	775	731	216	1326	232	585
ADAM12	1750	1182	1954	1129	2686	1852	1046	1381	787	1905
ADAM15	3510	1689	2073	1199	2282	2457	2220	804	3971	1470
ADAM17	1536	2623	427	243	710	9832	2851	4125	3901	6973
ADAM18	381	135	536	310	346	135	26	200	122	88
ADAM19	416	1186	754	561	695	405	279	1196	360	634
ADAM2	275	484	693	371	875	841	838	285	416	339
ADAM20	357	1110	999	1321	1525	1716	257	1767	978	1499
ADAM21	1995	1441	1166	1603	235	2576	1637	2696	708	1503
ADAM22	1458	2686	1413	1902	393	2538	1230	749	3150	776
ADAM23	3229	786	2016	2643	1210	500	798	571	606	351
ADAM28	556	1278	782	628	838	3163	8119	2124	1522	2795
ADAM29	327	688	2086	1659	1301	2683	554	567	1479	1296
ADAM30	989	2057	1813	2280	3933	5461	2741	1047	1900	1116
ADAM32	308	688	148	783	1072	686	573	531	174	1166
ADAM33	1048	3942	1450	161	820	9434	6458	16581	12162	10122
ADAM7	318	311	219	577	653	320	545	755	214	178
ADAM8	1711	2855	240	860	2009	313	127	150	591	327
ADAM9	481	201	481	930	473	242	453	529	454	428
ADAMDEC1	1185	2075	1089	2412	1885	470	632	220	135	206
ADAMTS1	1045	1085	1202	1059	1020	2627	1786	541	4541	1965
ADAMTS10	347	213	714	691	496	510	451	561	214	371
ADAMTS12	884	542	324	584	486	319	346	782	184	457
ADAMTS13	355	1726	474	520	576	1273	1359	635	2541	514
ADAMTS14	1338	2141	1312	635	5474	2269	1648	2393	2401	1053
ADAMTS15	779	2068	627	1254	1435	2963	1683	1899	831	1014
ADAMTS16	1057	608	1168	1022	826	136	147	506	234	194
ADAMTS17	431	521	851	636	1231	189	376	803	330	1790
ADAMTS18	2261	797	1991	1363	577	160	2027	588	673	2009
ADAMTS19	1397	1062	2707	2142	1714	2575	1627	3355	1895	283
ADAMTS2	1950	1001	538	653	2214	1975	752	1410	3182	1548
ADAMTS20	1806	434	1044	1210	740	623	1768	124	92	1416
ADAMTS3	2348	3983	1805	3927	2363	1383	1158	1563	1511	1065
ADAMTS4	1920	782	832	492	1614	890	1591	2172	1904	2795
ADAMTS5	2371	1069	4802	637	1287	4945	2603	1565	1449	2134
ADAMTS6	1766	599	2015	1460	1658	968	828	3059	809	3467
ADAMTS7	818	1207	1070	1337	1501	2060	2559	1393	1900	2052
ADAMTS8	872	2993	62	681	1204	1994	1119	634	301	1248
ADAMTS9	773	777	604	651	624	288	112	354	196	133
ADAMTSL1	3009	1869	815	2398	2535	1380	1152	1718	3844	843
ADAMTSL2	849	1027	770	670	295	428	340	456	524	652
ADAMTSL3	434	581	463	593	664	685	380	425	582	787
ADAMTSL4	625	1171	700	2097	1290	3402	2988	1686	2857	4651
ADAMTSL5	2687	1682	485	4680	480	201	207	701	420	390
ADAP1	161	198	444	278	162	354	285	541	495	230
ADAP2	506	770	1810	907	1094	472	1087	550	323	504
ADAR	1402	2576	3195	620	1095	1609	1202	1569	794	514
ADARB1	73	139	62	140	20	157	42	61	110	38
ADARB2	952	759	337	128	413	234	228	689	247	566
ADAT1	2093	325	1285	469	2109	2449	975	938	4620	1928
ADAT2	1500	1311	2011	3012	1248	1311	1990	608	1764	970
ADAT3	1126	1450	692	305	655	331	227	572	475	687
ADCK1	1574	2818	636	1272	473	1681	525	674	1413	738
ADCK2	3184	1770	911	1647	1453	1882	5404	1218	1109	1580
ADCK5	264	448	807	1615	423	988	1666	797	1708	817
ADCY1	1388	1353	1853	1270	1341	9665	9109	4499	1941	3836
ADCY10	773	2060	1062	1577	772	15254	8298	7547	6250	11813
ADCY2	401	829	1753	2371	997	1552	1300	846	302	548
ADCY3	591	944	661	461	313	1246	646	704	300	531
ADCY4	1205	645	1006	2914	1576	2520	684	975	2329	936
ADCY5	876	702	1217	976	1682	1614	1542	1093	1238	2436
ADCY6	162	162	180	133	527	165	43	226	246	223
ADCY7	2365	1155	1806	712	2086	1494	2051	1199	1528	1776
ADCY8	739	1091	564	632	480	3809	7942	10151	5023	2227
ADCY9	3242	1312	1412	2294	1610	1512	2611	2235	2064	932
ADCYAP1	1173	675	1271	2038	1030	1046	238	409	3206	460
ADCYAP1R1	518	542	386	211	1275	621	693	385	878	104
ADD1	902	616	2897	2457	748	366	419	553	457	198
ADD2	502	652	869	1807	505	183	375	333	424	398
ADD3	629	481	338	370	721	1141	303	275	423	330
ADGB	765	1217	984	1160	898	350	274	64	456	152
ADGRA1	1618	565	881	1103	2794	2586	1665	941	1113	4766
ADGRA2	106	37	148	36	198	117	155	87	78	39
ADGRA3	1236	1188	2305	1586	1602	4369	2661	1866	8089	7973
ADGRB1	745	304	554	477	754	646	544	783	869	375
ADGRB2	651	604	316	1837	462	1158	573	871	379	778
ADGRB3	683	477	1357	653	536	714	1175	987	809	409
ADGRD1	983	1535	445	413	930	1136	700	781	388	838
ADGRD2	470	2614	1204	3408	886	2867	617	416	551	1281
ADGRE1	111	568	590	866	248	996	291	285	512	368
ADGRE2	2873	505	2994	2368	514	1742	699	5815	683	1507
ADGRE3	67	138	235	241	136	338	62	347	333	178
ADGRE5	3666	3793	823	3152	2095	371	557	777	848	184
ADGRF1	2353	736	1391	681	674	1345	999	1322	740	1085
ADGRF2	1375	989	2971	1000	489	4499	1805	964	2380	1153
ADGRF3	616	363	544	364	343	1194	2132	1864	1553	2106
ADGRF4	756	1212	1074	949	2354	610	825	378	746	470
ADGRF5	592	529	265	648	353	166	92	125	38	187
ADGRG1	4160	1080	1711	1231	559	823	943	1172	491	3234
ADGRG2	865	2799	907	973	1008	919	699	987	1248	745
ADGRG3	1094	243	1165	149	740	1262	1392	379	170	1527
ADGRG4	1066	2241	530	429	1693	3077	421	1111	2483	1212
ADGRG5	351	956	832	458	629	470	327	1005	726	1396
ADGRG6	1175	2004	1037	2009	2285	1113	2170	1205	1191	802
ADGRG7	274	1545	522	784	1097	2247	1251	1707	1198	1313
ADGRL1	1776	530	918	2368	790	2705	1287	1642	249	1510
ADGRL2	605	576	861	1005	760	362	929	1193	812	672
ADGRL3	662	658	404	925	1146	920	563	1321	931	931
ADGRL4	1035	403	364	363	493	1605	1399	509	2332	1207
ADGRV1	571	1685	466	1208	3082	1767	1777	2748	2373	551
ADH1A	547	1420	1831	1656	731	2449	851	1745	1784	404
ADH1B	1805	516	3550	953	625	119	64	105	311	147
ADH1C	2760	863	1288	1945	1451	843	2511	3905	3798	1111
ADH4	102	131	133	66	57	86	58	165	135	130
ADH5	3708	1791	1585	2849	3610	799	1064	1205	1001	1646
ADH6	3546	1437	1109	2195	1185	3591	1257	2096	951	377
ADH7	1769	1090	4531	1404	1216	2072	1501	2554	1502	1708
ADHFE1	878	1940	2161	1475	1859	902	1073	1882	4129	1241
ADI1	649	1249	752	331	996	611	981	305	1190	592
ADIG	213	270	690	774	379	598	577	248	219	256
ADIPOQ	1639	2913	1639	947	1670	1022	897	3196	1081	3051
ADIPOR1	660	790	1739	630	648	1376	1792	790	260	636
ADIPOR2	401	169	211	372	385	885	1097	2815	607	2559
ADIRF	2314	639	1500	2045	956	1396	1200	1207	806	1303
ADK	308	580	263	1182	726	701	424	417	368	734
ADM	1505	1761	1600	822	531	1139	3440	2951	262	1487
ADM2	1828	997	2508	998	1713	1011	2317	1017	1158	1061
ADM5	907	2068	903	917	1746	1764	886	2641	657	1408
ADNP	1202	734	588	1829	950	1920	878	941	1818	2067
ADNP2	1489	2119	565	1726	1847	3416	6614	2433	6087	3601
ADO	3050	725	2217	2131	930	363	2162	1664	3013	719
ADORA1	1357	2215	1403	971	516	2038	526	1429	831	381
ADORA2A	261	421	680	438	238	806	460	639	618	516
ADORA2B	783	1741	1716	857	1603	1205	950	1044	1290	1711
ADORA3	1257	1793	4486	2806	5663	1777	693	1105	2259	1723
ADPGK	618	861	487	460	850	248	700	136	915	1710
ADPRH	73	53	40	192	75	180	134	127	134	147
ADPRHL1	829	1454	955	949	546	1306	520	847	717	1762
ADPRHL2	247	40	228	260	134	29	30	48	68	38
ADPRM	884	807	2074	743	1283	3148	2230	1000	1076	3051
ADRA1A	1113	1292	861	639	2599	1955	3210	1288	2490	840
ADRA1B	472	359	547	343	473	464	105	503	244	263
ADRA1D	1273	1599	2003	2319	1198	1761	3026	3880	968	540
ADRA2A	211	483	55	236	116	87	56	32	19	36
ADRA2B	1848	707	814	2289	491	945	613	2022	930	1120
ADRA2C	1098	510	1640	1028	621	1287	546	851	341	286
ADRB1	1006	968	2386	1105	2487	70	1389	1456	1467	2028
ADRB2	555	1098	207	754	605	579	345	308	1192	719
ADRB3	227	427	499	540	369	257	359	300	215	516
ADRM1	546	730	315	263	811	364	387	1080	571	415
ADSL	151	385	289	348	172	763	1101	481	152	277
ADSS	908	904	929	414	1107	1870	746	935	979	664
ADSSL1	135	211	113	135	60	178	102	85	149	268
ADTRP	1745	370	862	233	918	1256	604	1650	1334	1906
AEBP1	1306	2053	1667	415	3049	394	2607	3919	2926	551
AEBP2	3012	1273	2852	2262	1748	1139	615	3036	2057	1405
AEN	465	1934	2393	1354	1855	1279	1571	2211	1761	927
AES	2306	2038	2240	934	2336	3356	2359	2723	1885	1992
AFAP1	140	283	300	582	250	293	482	665	129	303
AFAP1L1	139	254	301	331	345	335	327	255	340	700
AFAP1L2	1392	1075	2997	1749	794	706	1266	998	111	1319
AFDN	2998	1804	5421	3362	881	3147	1553	1312	650	1828
AFF1	5166	2694	1681	1825	784	480	994	1230	1496	2516
AFF2	311	149	154	273	133	135	84	82	180	74
AFF3	590	476	231	996	286	864	318	419	557	581
AFF4	208	346	174	1138	1073	341	1034	466	304	489
AFG1L	757	1167	821	410	1590	330	1113	1555	2091	1055
AFG3L2	3538	1301	953	1171	1445	952	2062	456	1277	355
AFM	224	182	143	484	250	208	304	82	139	657
AFMID	978	635	815	830	1089	1699	1203	1607	1481	642
AFP	2048	601	817	930	1690	4100	1217	521	1691	683
AFTPH	2061	3110	841	575	402	2216	416	1705	2934	1792
AGA	82	125	34	93	54	18	39	39	12	14
AGAP1	418	1180	1887	3173	687	2727	2128	1722	1959	1722
AGAP11	2200	1308	222	1241	1334	495	2246	510	672	810
AGAP2	794	413	822	1319	836	529	1156	858	833	1135
AGAP3	1498	1042	1545	1492	2083	1974	1727	2374	420	2129
AGAP4	624	714	261	304	806	350	613	512	1142	319
AGAP5	532	274	191	113	250	453	571	333	530	896
AGAP6	1776	1753	2791	1843	1229	1060	443	1218	2747	1560
AGAP9	367	598	153	279	477	566	320	591	273	420
AGBL1	2397	1230	1918	2164	1791	2612	2232	1048	1162	514
AGBL2	2531	1177	644	1882	2920	1043	1196	1798	1602	1440
AGBL3	2203	1403	1933	3383	698	4319	532	2525	2799	1628
AGBL4	556	412	1923	1030	769	525	133	802	314	1074
AGBL5	321	1141	383	1084	1073	706	425	444	763	1518
AGER	1131	1141	504	1122	818	2542	928	1410	1622	3673
AGFG1	116	166	101	51	155	160	65	63	98	94
AGFG2	928	413	1918	567	2182	1592	1920	1218	753	895
AGGF1	1158	366	652	1060	1034	784	1407	1362	1786	515
AGK	1000	2209	1019	757	1238	494	421	450	241	1016
AGL	1764	841	2046	357	966	1024	1913	1120	942	512
AGMAT	315	295	407	63	412	298	598	436	532	312
AGMO	424	991	277	721	174	345	345	1221	633	300
AGO1	3813	2033	4228	2663	823	1687	1256	2030	980	2770
AGO2	1070	1618	1113	1590	787	2445	1871	2492	745	561
AGO3	924	585	367	367	579	1331	1061	2131	401	271
AGO4	1848	1698	2989	3176	722	612	1651	1179	1629	2756
AGPAT1	1741	887	231	1055	569	877	429	1322	846	1056
AGPAT2	258	731	674	275	366	589	1055	557	303	678
AGPAT3	485	651	428	670	466	721	1572	331	722	623
AGPAT4	1788	3438	3940	1456	1540	14069	3270	6836	10692	11717
AGPAT5	236	251	336	186	498	84	144	280	291	537
AGPS	961	996	2081	310	1935	2587	144	1385	583	632
AGR2	974	1009	302	461	997	825	243	777	1265	2495
AGR3	1675	2341	1070	1117	1394	1251	1541	2503	1284	1099
AGRN	340	1000	609	1060	632	919	1271	380	528	797
AGRP	645	1057	457	378	461	229	531	448	1165	611
AGT	197	209	306	203	49	330	292	105	195	373
AGTPBP1	735	1864	1123	2519	986	292	447	120	155	151
AGTR1	982	468	2169	1408	2584	1921	2064	619	1277	230
AGTR2	771	1132	1022	393	924	1035	825	1461	1979	537
AGTRAP	427	966	1596	1305	529	257	461	300	429	193
AGXT	365	649	332	230	292	195	370	496	265	136
AGXT2	666	808	1065	1110	3433	1547	1018	989	1557	1912
AHCTF1	364	2578	1497	467	1242	892	338	957	1214	2988
AHCY	252	340	396	83	279	374	206	200	459	435
AHCYL1	1218	494	534	711	1669	679	1308	1345	268	193
AHCYL2	1632	1699	1132	1006	1835	1044	2179	2079	590	1295
